table36_id,species_name,genus,species,source,length_min,length_max,width_min,width_max,q_min,q_max,parmasto_length_mean,parmasto_width_mean,parmasto_q_mean,parmasto_v_sp_length,parmasto_v_sp_width,parmasto_v_sp_q,parmasto_v_ind_length,parmasto_v_ind_width,parmasto_v_ind_q
85,Amanita phalloides,Amanita,phalloides,"Parmasto, 1987",7.0,9.2,5.7,7.7,1.0,1.4,8.02,6.92,1.16,8.2,10.3,10.0,,,
13,Antrodiella onychoides,Antrodiella,onychoides,"Parmasto, 1987",3.5,4.1,1.2,1.7,2.2,3.1,3.84,1.47,2.65,4.5,9.5,9.5,,,
14,Antrodiella semisupina,Antrodiella,semisupina,"Parmasto, 1987",2.9,3.5,1.7,2.0,1.4,2.1,3.23,1.88,1.73,5.4,4.4,5.3,,,
9,Auricularia americana,Auricularia,americana,"Parmasto, 1987",12.8,16.1,4.8,5.7,2.3,3.2,14.45,5.24,2.77,6.6,4.9,9.7,,,
8,Auricularia auricula,Auricularia,auricula,"Parmasto, 1987",18.4,21.9,6.1,7.1,2.8,3.3,20.18,6.61,3.06,4.8,4.0,4.8,,,
10,Basidiodendron caesiocinereum,Basidiodendron,caesiocinereum,"Parmasto, 1987",6.3,9.1,5.9,8.3,1.0,1.2,7.7,7.11,1.0,9.3,8.7,3.6,,,
11,Basidiodendron eyrei,Basidiodendron,eyrei,"Parmasto, 1987",4.6,5.9,3.9,6.0,0.9,1.2,5.27,4.96,1.07,5.8,10.1,6.3,,,
86,Bolbitius vitellinus,Bolbitius,vitellinus,"Parmasto, 1987",9.7,12.4,5.9,7.3,1.6,1.8,11.04,6.59,1.68,7.2,6.3,4.5,,,
15,Cantharellus ignicolor,Cantharellus,ignicolor,"Parmasto, 1987",,,,,1.3,1.5,,,1.37,,,4.2,,,
16,Cantharellus lutescens,Cantharellus,lutescens,"Parmasto, 1987",9.3,11.1,6.5,7.8,1.3,1.5,10.16,7.16,1.42,4.9,4.8,3.2,,,
17,Cantharellus tubaeformis,Cantharellus,tubaeformis,"Parmasto, 1987",8.4,11.4,7.1,8.9,1.1,1.3,10.18,8.19,1.24,6.9,3.7,5.7,,,
78,Cephaloscypha mairei,Cephaloscypha,mairei,"Parmasto, 1987",8.0,11.0,3.0,4.0,2.0,3.4,9.46,3.49,2.71,8.1,7.1,12.9,,,
18,Clavaria zollingeri,Clavaria,zollingeri,"Parmasto, 1987",4.3,6.1,2.3,4.5,0.9,2.2,5.21,3.42,1.58,9.9,18.2,23.2,,,
19,Coniophora fusispora,Coniophora,fusispora,"Parmasto, 1987",14.7,20.1,,,,,17.36,,,9.2,6.4,,,,
87,Conocybe brunnea,Conocybe,brunnea,"Parmasto, 1987",5.6,6.9,3.1,4.4,1.5,1.8,6.28,3.77,1.67,6.0,9.5,5.8,,,
88,Conocybe intrusa,Conocybe,intrusa,"Parmasto, 1987",5.1,7.8,3.7,5.2,1.4,1.5,6.42,4.46,1.44,11.0,8.5,3.2,10.7,11.1,10.7
20,Coriolus hirsutus,Coriolus,hirsutus,"Parmasto, 1987",5.8,6.8,1.7,2.8,2.2,3.4,6.06,2.04,3.01,2.8,12.9,13.3,9.5,13.5,
21,Coriolus pubescens,Coriolus,pubescens,"Parmasto, 1987",5.1,6.4,1.6,2.1,2.5,3.6,5.71,1.91,3.0,9.8,5.1,10.7,9.4,14.0,
22,Coriolus tephroleucus,Coriolus,tephroleucus,"Parmasto, 1987",6.0,8.3,2.0,2.8,2.6,3.4,7.43,2.43,3.07,8.3,6.7,4.3,10.4,12.2,8.3
23,Coriolus versicolor,Coriolus,versicolor,"Parmasto, 1987",4.9,6.1,1.5,2.6,2.2,3.2,5.29,1.84,2.89,5.2,11.4,6.9,8.8,14.3,
24,Coriolus zonatus,Coriolus,zonatus,"Parmasto, 1987",5.5,6.5,1.8,3.1,1.9,3.0,6.07,2.24,2.71,5.2,7.8,5.4,10.0,15.0,
89,Cortinarius raphanoides,Cortinarius,raphanoides,"Parmasto, 1987",7.1,8.4,5.0,5.7,1.4,1.5,7.76,5.35,1.45,4.6,4.2,3.8,,,
90,Cortinarius sanguineus,Cortinarius,sanguineus,"Parmasto, 1987",7.6,8.6,4.1,4.8,1.7,2.0,8.08,4.46,1.81,3.0,3.5,4.2,,,
91,Cortinarius saniosus,Cortinarius,saniosus,"Parmasto, 1987",8.0,10.2,4.3,6.4,1.3,2.1,9.24,5.5,1.68,5.3,3.7,5.1,7.5,6.9,7.3
92,Cymatellopsis ilmiana,Cymatellopsis,ilmiana,"Parmasto, 1987",11.0,12.6,4.3,4.8,2.5,2.7,11.77,4.56,2.59,3.2,3.0,2.5,,,
79,Cyphellopsis anomala s.l.,Cyphellopsis,anomala s.l.,"Parmasto, 1987",,,,,2.5,3.8,,,3.15,,,11.7,,,
25,Dentocorticium ussuricum,Dentocorticium,ussuricum,"Parmasto, 1987",5.8,8.1,2.0,2.9,2.7,3.1,6.97,2.46,2.87,8.1,8.2,3.3,8.9,8.3,8.5
12,Exidiopsis calcea,Exidiopsis,calcea,"Parmasto, 1987",14.3,17.9,5.2,6.8,2.4,3.0,16.09,6.0,2.69,6.0,7.4,5.6,,,
1,Exobasidium juelianum,Exobasidium,juelianum,"Parmasto, 1987",10.3,12.5,2.5,3.2,3.7,4.4,11.4,2.83,4.04,5.3,6.9,5.3,,,
2,Exobasidium myrtilli s. str.,Exobasidium,myrtilli s. str.,"Parmasto, 1987",11.9,14.4,3.1,4.0,3.2,4.3,13.21,3.56,3.73,5.0,6.7,7.9,,,
3,Exobasidium pachysporum,Exobasidium,pachysporum,"Parmasto, 1987",11.8,14.1,4.2,5.0,2.5,3.2,13.06,4.59,2.85,4.8,4.8,6.9,,,
4,Exobasidium rostrupii,Exobasidium,rostrupii,"Parmasto, 1987",11.7,13.5,3.5,4.3,2.9,3.6,12.62,3.87,3.29,3.9,5.4,5.6,,,
5,Exobasidium sundstroemii,Exobasidium,sundstroemii,"Parmasto, 1987",10.6,11.6,2.6,3.4,3.2,4.3,11.09,2.98,3.73,2.5,7.0,7.6,,,
6,Exobasidium sydowianum,Exobasidium,sydowianum,"Parmasto, 1987",12.5,13.9,3.4,4.0,3.4,3.7,13.18,3.71,3.56,2.7,3.8,2.4,,,
7,Exobasidium vaccinii s. str.,Exobasidium,vaccinii s. str.,"Parmasto, 1987",13.5,17.4,3.2,3.9,3.9,4.8,15.46,3.57,4.34,7.0,5.3,5.6,,,
80,Flagelloscypha donkii,Flagelloscypha,donkii,"Parmasto, 1987",5.6,7.9,2.7,3.6,1.8,2.5,6.75,3.15,2.15,9.4,8.1,8.0,,,
81,Flagelloscypha faginea,Flagelloscypha,faginea,"Parmasto, 1987",9.0,12.6,3.4,4.5,2.1,3.3,10.8,3.98,2.73,9.0,7.2,11.9,,,
82,Flagelloscypha kavinae,Flagelloscypha,kavinae,"Parmasto, 1987",6.9,9.0,2.8,3.9,2.1,2.7,7.97,3.33,2.4,7.9,9.4,8.5,,,
83,Flagelloscypha minutissima,Flagelloscypha,minutissima,"Parmasto, 1987",7.1,10.0,3.9,5.2,1.6,2.2,8.56,4.55,1.88,9.9,9.0,10.4,,,
93,Flammulina fennae,Flammulina,fennae,"Parmasto, 1987",5.9,7.7,3.6,4.7,1.5,1.8,6.83,4.17,1.63,7.4,7.3,5.0,,,
94,Flammulina velutipes f. longispora,Flammulina,velutipes f. longispora,"Parmasto, 1987",8.3,10.6,3.2,3.8,2.5,2.9,9.45,3.49,2.7,6.7,4.8,5.8,,,
94,Flammulina velutipes f. velutipes,Flammulina,velutipes f. velutipes,"Parmasto, 1987",6.8,9.3,3.3,4.3,1.9,2.4,8.04,3.78,2.13,9.1,8.0,6.7,,,
26,Fomes fomentarius,Fomes,fomentarius,"Parmasto, 1987",16.4,21.0,5.1,6.8,2.6,3.7,18.7,5.98,3.14,6.8,7.7,9.1,4.2,6.4,6.3
27,Ganoderma curtisii,Ganoderma,curtisii,"Parmasto, 1987",9.4,10.5,5.9,6.5,1.5,1.7,9.96,6.19,1.61,3.1,2.8,2.8,,,
28,Ganoderma lobatoideum,Ganoderma,lobatoideum,"Parmasto, 1987",7.0,8.6,4.5,6.0,1.4,1.6,7.83,5.26,1.49,5.4,7.6,3.3,,,
29,Ganoderma multiplicatum,Ganoderma,multiplicatum,"Parmasto, 1987",7.8,10.4,5.3,6.6,1.3,1.7,9.11,5.96,1.53,8.3,6.2,7.1,,,
30,Ganoderma resinaceum,Ganoderma,resinaceum,"Parmasto, 1987",9.4,11.5,6.1,7.9,1.3,1.7,9.59,6.52,1.47,4.4,7.8,7.7,,,
31,Ganoderma subfornicatum,Ganoderma,subfornicatum,"Parmasto, 1987",8.4,11.0,5.7,6.9,1.4,1.7,9.7,6.28,1.55,7.5,5.3,6.8,,,
32,Gomphus clavatus,Gomphus,clavatus,"Parmasto, 1987",,,,,2.0,2.6,,,2.27,,,7.6,,,
33,Gomphus floccopus,Gomphus,floccopus,"Parmasto, 1987",,,,,1.8,2.4,,,2.1,,,7.7,,,
95,Gyroporus castaneus,Gyroporus,castaneus,"Parmasto, 1987",7.4,10.9,4.1,6.2,1.5,2.1,9.54,5.3,1.8,8.8,10.3,9.4,8.9,7.6,
34,Hirschioporus abietinus,Hirschioporus,abietinus,"Parmasto, 1987",5.1,7.8,2.1,2.6,1.9,3.6,6.49,2.38,2.78,11.4,6.8,16.7,9.0,12.9,11.0
35,Hirschioporus laricinus,Hirschioporus,laricinus,"Parmasto, 1987",5.6,6.4,2.0,2.5,2.3,3.0,5.97,2.28,2.64,3.6,5.8,6.5,10.3,13.0,9.6
36,Hirschioporus pargamenus,Hirschioporus,pargamenus,"Parmasto, 1987",4.9,6.1,1.6,2.0,2.7,3.5,5.49,1.8,3.09,5.7,6.0,6.4,9.1,12.7,9.5
37,Hirschioporus quercinus,Hirschioporus,quercinus,"Parmasto, 1987",4.4,5.9,1.4,2.1,2.7,3.3,5.17,1.75,3.0,7.7,9.8,5.8,8.3,14.9,13.0
96,Hygroporus latibundus,Hygroporus,latibundus,"Parmasto, 1987",9.0,10.7,5.1,7.3,1.5,1.7,9.86,6.2,1.59,4.6,9.1,4.2,,,
97,Hygroporus olivaceoalbus,Hygroporus,olivaceoalbus,"Parmasto, 1987",11.3,14.8,7.2,8.7,1.5,1.8,13.06,7.92,1.65,7.3,5.1,4.0,,,
98,Hygroporus personii,Hygroporus,personii,"Parmasto, 1987",8.9,10.6,5.5,6.6,1.5,1.7,9.76,6.02,1.62,4.5,5.1,2.4,,,
58,Hymenochaete mougeotii,Hymenochaete,mougeotii,"Parmasto, 1987",6.9,8.8,1.8,2.7,2.7,4.2,7.85,2.29,3.43,5.9,9.7,10.7,8.9,11.2,10.1
59,Hymenochaete tabacina,Hymenochaete,tabacina,"Parmasto, 1987",4.4,5.3,1.2,2.1,2.2,3.9,4.85,1.64,3.03,4.0,13.1,13.2,9.7,13.8,12.1
60,Inonotus obliquus,Inonotus,obliquus,"Parmasto, 1987",7.6,10.0,5.1,6.1,1.4,1.8,8.79,5.61,1.57,6.7,4.6,6.1,7.1,6.9,5.8
38,Laeticorticium pilatii,Laeticorticium,pilatii,"Parmasto, 1987",6.1,8.6,3.0,4.1,1.7,2.5,7.34,3.55,2.08,7.9,7.2,9.2,8.1,7.0,7.5
39,Laeticorticium roseum,Laeticorticium,roseum,"Parmasto, 1987",14.8,20.3,8.9,11.9,1.3,2.1,17.56,10.39,1.7,7.7,7.0,12.9,7.4,7.2,8.7
40,Leucogyrophana mollusca,Leucogyrophana,mollusca,"Parmasto, 1987",5.9,6.5,4.3,5.3,1.2,1.4,6.2,4.82,1.28,2.6,5.6,5.0,3.4,4.9,6.3
41,Leucogyrophana romellii,Leucogyrophana,romellii,"Parmasto, 1987",4.7,5.3,3.5,4.0,1.3,1.4,4.99,3.72,1.35,3.1,3.8,1.9,3.7,4.4,3.0
42,Leucophellinus mollissimus,Leucophellinus,mollissimus,"Parmasto, 1987",7.8,8.8,5.6,5.9,1.4,1.5,8.28,5.73,1.45,3.4,1.6,3.0,5.6,4.8,5.1
99,Omphalina epichysium,Omphalina,epichysium,"Parmasto, 1987",6.9,8.6,4.3,5.1,1.5,1.8,7.74,4.7,1.65,6.5,4.6,5.0,,,
43,Oxyporus philadelphi,Oxyporus,philadelphi,"Parmasto, 1987",5.7,6.2,4.2,4.9,1.2,1.4,5.94,4.53,1.32,1.9,4.2,3.6,6.3,7.6,6.5
44,Peniophora junipericola,Peniophora,junipericola,"Parmasto, 1987",9.0,10.9,2.8,3.6,2.8,3.5,9.95,3.2,3.13,5.5,7.7,6.3,7.9,9.1,
45,Peniophora limitata,Peniophora,limitata,"Parmasto, 1987",8.8,12.1,2.8,3.3,2.9,4.0,10.64,3.01,3.53,8.7,4.9,8.9,,,
46,Peniophora manshurica,Peniophora,manshurica,"Parmasto, 1987",6.8,8.4,2.1,2.5,3.1,3.7,7.6,2.26,3.37,5.9,5.1,5.1,6.8,7.8,8.0
47,Peniophora quercina ssp. caucasica,Peniophora,quercina ssp. caucasica,"Parmasto, 1987",8.8,11.5,2.8,3.5,3.0,3.4,10.16,3.15,3.23,7.7,5.8,3.5,7.2,8.1,7.7
47,Peniophora quercina ssp. quercina,Peniophora,quercina ssp. quercina,"Parmasto, 1987",10.2,12.2,2.9,3.4,2.7,3.3,11.27,3.84,2.94,5.6,4.0,3.6,,,
48,Peniophora rufomarginata,Peniophora,rufomarginata,"Parmasto, 1987",8.1,9.9,2.4,2.9,3.0,3.6,9.07,2.65,3.43,6.3,6.6,6.1,,,
49,Perenniporia ochroleuca,Perenniporia,ochroleuca,"Parmasto, 1987",10.2,15.3,6.2,8.5,1.6,1.9,12.74,7.36,1.73,9.9,7.7,5.2,7.4,8.5,9.9
61,Phellinus alni,Phellinus,alni,"Parmasto, 1987",5.3,6.7,4.8,6.0,1.0,1.2,5.96,5.4,1.11,6.3,6.2,5.1,4.7,5.4,1.9
62,Phellinus baumii,Phellinus,baumii,"Parmasto, 1987",3.6,4.0,3.1,3.4,1.1,1.2,3.78,3.25,1.17,3.0,2.6,2.7,8.0,6.5,5.9
63,Phellinus chinensis,Phellinus,chinensis,"Parmasto, 1987",5.5,5.9,4.0,4.5,1.3,1.4,5.72,4.24,1.35,1.8,3.2,3.0,5.2,5.1,5.4
64,Phellinus ephedrae,Phellinus,ephedrae,"Parmasto, 1987",3.4,3.9,2.7,3.0,1.2,1.3,3.65,2.83,1.29,3.6,3.0,2.6,7.3,9.0,7.2
65,Phellinus hartigii,Phellinus,hartigii,"Parmasto, 1987",6.2,9.3,5.7,8.7,1.0,1.1,7.74,7.21,1.07,12.0,12.2,2.6,,,
66,Phellinus hippophaecola,Phellinus,hippophaecola,"Parmasto, 1987",5.8,7.4,5.4,6.7,1.0,1.1,6.57,6.03,1.09,7.1,6.3,2.5,6.9,7.2,3.6
67,Phellinus pini,Phellinus,pini,"Parmasto, 1987",5.5,6.0,4.5,5.3,1.1,1.3,5.74,4.9,1.17,2.4,5.2,4.4,7.0,9.6,
68,Phellinus punctatus,Phellinus,punctatus,"Parmasto, 1987",5.7,6.8,5.1,6.3,1.0,1.2,6.35,5.86,1.08,5.6,6.2,1.7,,,
69,Phellinus robustus,Phellinus,robustus,"Parmasto, 1987",6.3,8.3,5.7,7.8,0.8,1.4,7.34,6.74,1.06,8.0,8.9,16.3,6.8,6.7,4.6
70,Phellinus senex,Phellinus,senex,"Parmasto, 1987",4.9,5.8,3.5,4.4,1.3,1.5,5.33,3.94,1.36,3.6,5.3,3.9,4.3,5.7,5.3
71,Phellinus torulosus,Phellinus,torulosus,"Parmasto, 1987",5.0,5.7,3.6,4.2,1.2,1.5,5.34,3.87,1.38,4.2,4.3,5.7,6.5,7.4,6.6
72,Phellinus vaninii,Phellinus,vaninii,"Parmasto, 1987",3.4,5.3,3.1,3.9,1.1,1.4,4.37,3.46,1.26,11.1,6.0,5.8,7.9,7.1,5.8
100,Phlebopus portentosus,Phlebopus,portentosus,"Parmasto, 1987",6.8,9.0,4.8,6.2,1.3,1.6,7.91,5.49,1.44,6.5,3.7,,5.2,5.2,4.9
101,Phlebopus sudanicus,Phlebopus,sudanicus,"Parmasto, 1987",6.3,8.5,4.5,6.1,1.2,1.6,7.44,5.3,1.41,8.1,8.7,6.4,5.7,5.2,5.3
73,Pleurotus citrinopileatus,Pleurotus,citrinopileatus,"Parmasto, 1987",7.4,8.8,3.0,3.3,2.4,2.8,8.1,3.14,2.59,4.7,2.9,3.9,8.6,8.7,6.3
74,Pleurotus dryinus,Pleurotus,dryinus,"Parmasto, 1987",9.3,13.8,3.4,4.4,2.7,3.6,11.55,3.9,3.13,11.0,7.1,8.2,,,
75,Polyporus hemicapnodes,Polyporus,hemicapnodes,"Parmasto, 1987",5.9,10.2,3.7,4.7,1.6,2.3,8.05,4.21,1.91,14.5,6.7,10.2,8.8,8.5,8.6
76,Polyporus melanopus,Polyporus,melanopus,"Parmasto, 1987",7.1,8.9,2.8,3.6,2.1,2.9,7.98,3.19,2.5,6.0,6.8,8.4,7.4,8.1,6.8
77,Polyporus varius,Polyporus,varius,"Parmasto, 1987",8.1,11.1,2.5,3.6,2.9,3.4,9.62,3.02,3.19,8.2,9.6,4.3,,,
50,Punctularia strigosozonata,Punctularia,strigosozonata,"Parmasto, 1987",6.6,8.3,3.2,3.6,1.9,2.5,7.44,3.41,2.18,6.5,2.7,7.1,11.2,11.6,
51,Ramaria fennica var. violaceibrunnea,Ramaria,fennica var. violaceibrunnea,"Parmasto, 1987",9.7,11.6,4.4,4.9,2.1,2.5,10.69,4.65,2.3,4.5,2.7,5.2,,,
52,Ramaria flavobrunnescens var. aromatica,Ramaria,flavobrunnescens var. aromatica,"Parmasto, 1987",9.4,11.3,3.6,4.3,2.3,2.9,10.36,3.95,2.62,5.3,4.5,6.8,,,
53,Ramaria strasseri,Ramaria,strasseri,"Parmasto, 1987",12.5,16.3,4.1,5.2,2.4,3.8,14.37,4.65,3.11,7.8,6.4,13.0,,,
84,Rectipilus fasciculatus,Rectipilus,fasciculatus,"Parmasto, 1987",4.7,7.1,3.3,4.4,1.3,1.8,5.89,3.84,1.53,9.9,7.6,8.7,,,
54,Rigidoporus ulmarius,Rigidoporus,ulmarius,"Parmasto, 1987",5.8,6.9,5.4,6.4,1.1,1.1,6.18,5.71,1.08,3.3,2.8,0.6,7.3,8.1,4.2
102,Strobilurus stephanocystis,Strobilurus,stephanocystis,"Parmasto, 1987",5.8,7.0,3.0,3.9,1.7,2.1,6.4,3.45,1.86,,,,,,
103,Strobilurus tenacellus,Strobilurus,tenacellus,"Parmasto, 1987",4.5,6.0,2.3,3.0,1.8,2.2,5.29,2.65,2.0,8.3,8.5,6.1,,,
55,Thanatephorus cucumeris,Thanatephorus,cucumeris,"Parmasto, 1987",7.7,11.2,5.0,6.9,1.4,1.8,9.45,5.95,1.59,10.0,8.3,6.7,11.5,9.0,7.9
104,Vararia abortiphysa,Vararia,abortiphysa,"Parmasto, 1987",13.6,18.0,2.5,4.4,3.2,6.0,15.84,3.48,4.62,7.1,14.2,15.9,6.3,5.8,
105,Vararia ambigua,Vararia,ambigua,"Parmasto, 1987",6.2,7.3,3.0,4.1,1.7,2.2,6.77,3.56,1.91,7.0,4.4,6.6,6.2,6.3,
106,Vararia amphithallica,Vararia,amphithallica,"Parmasto, 1987",10.6,17.6,4.6,5.9,2.1,3.3,14.08,5.21,2.71,9.1,13.9,6.9,12.4,,
107,Vararia aurantiaca,Vararia,aurantiaca,"Parmasto, 1987",12.9,16.8,4.3,4.9,2.7,3.8,14.85,4.61,3.23,6.8,9.8,18.2,8.4,,
108,Vararia calami,Vararia,calami,"Parmasto, 1987",11.6,18.0,3.6,5.1,2.3,4.6,14.84,4.36,3.44,12.0,9.8,18.2,,,
109,Vararia cremea,Vararia,cremea,"Parmasto, 1987",11.0,22.9,2.8,3.3,3.7,7.6,16.98,3.08,5.64,16.7,4.0,16.2,,,
110,Vararia gillesii,Vararia,gillesii,"Parmasto, 1987",11.9,17.9,4.4,5.2,2.5,3.7,14.91,4.8,3.11,9.7,4.1,9.6,,,
111,Vararia gracilispora,Vararia,gracilispora,"Parmasto, 1987",14.4,17.6,2.5,3.2,4.8,6.4,15.96,2.87,5.58,5.4,6.5,7.7,,,
112,Vararia intricata,Vararia,intricata,"Parmasto, 1987",16.3,20.4,2.8,4.4,3.5,6.8,18.34,3.62,5.15,5.9,11.6,16.7,,,
113,Vararia minidichophysa,Vararia,minidichophysa,"Parmasto, 1987",6.9,9.5,4.6,6.1,1.4,1.7,8.18,5.31,1.54,8.0,7.3,5.5,,,
56,Vuilleminia comedens,Vuilleminia,comedens,"Parmasto, 1987",17.8,22.3,5.2,6.4,3.0,4.0,20.07,5.79,3.48,6.2,5.5,7.5,5.7,7.4,7.4
57,Vuilleminia cystidiata,Vuilleminia,cystidiata,"Parmasto, 1987",14.3,16.7,3.8,4.9,3.1,4.0,15.48,4.34,3.58,3.9,6.5,6.2,4.9,6.3,
